Day,Cash On Hand (Accumulated) (SGD)
11,571178
12,437921
13,79245
14,612083
15,643161
16,416739
17,505279
18,330366
19,479765
20,232388
21,139349
22,474475
23,123606
24,450212
25,248539
26,275647
27,395913
28,1684869
29,1229394
30,2225163
31,1842846
32,2023240
33,1644302
34,1916014
35,2603806
36,2288843
37,1205698
38,735148
39,255080
40,1729989
41,1648755
42,1763783
43,1797480
44,1975527
45,4488505
46,3923795
47,4008695
48,4179110
49,5559769
50,5759421
51,3602210
52,2514502
53,1640034
54,1966004
55,115307
56,1664318
57,1906762
58,1016353
59,1414001
60,1791425
61,2533459
62,2027886
63,938310
64,565526
65,3363810
66,4275068
67,1924715
68,930118
69,516560
70,1312258
71,3939554
72,4574714
73,4513229
74,4065038
75,3021403
76,3811401
77,2401344
78,3031446
79,3476627
80,2870966
81,2726517
82,1060853
83,31298
84,26395
85,3578697
86,2993739
87,3450540
88,5252087
89,5717354
90,6043693
